,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
604,uttar pradesh,mathura,2001,8,6,2,0,1,2,11,0,0,49,79
605,uttar pradesh,mau,2001,0,2,3,0,0,3,10,17,0,70,105
606,uttar pradesh,meerut,2001,9,4,6,0,0,1,9,106,0,77,212
607,uttar pradesh,mirzapur,2001,2,3,1,0,0,1,1,29,0,6,43
608,uttar pradesh,moradabad,2001,4,7,1,0,1,3,11,13,0,39,79
609,uttar pradesh,muzaffarnagar,2001,13,11,6,0,1,0,18,7,0,24,80
610,uttar pradesh,pilibhit,2001,12,11,2,0,3,5,36,101,0,45,215
611,uttar pradesh,pratapgarh,2001,6,3,3,0,0,2,4,64,0,68,150
612,uttar pradesh,raibareilly,2001,4,19,7,0,1,3,9,183,0,54,280
613,uttar pradesh,rampur,2001,6,5,2,0,0,0,0,49,0,3,65
614,uttar pradesh,saharanpur,2001,4,5,1,0,0,1,15,4,0,28,58
615,uttar pradesh,sant kabirnagar,2001,2,5,0,0,0,0,0,44,0,0,51
616,uttar pradesh,shahjahanpur,2001,11,16,9,0,0,3,26,36,0,81,182
617,uttar pradesh,shrawasti,2001,2,2,1,0,0,0,3,57,0,0,65
618,uttar pradesh,sidharthnagar,2001,1,3,3,0,0,1,6,72,0,0,86
619,uttar pradesh,sitapur,2001,15,28,6,0,7,10,10,54,0,265,395
620,uttar pradesh,sonbhadra,2001,2,2,0,0,0,0,3,16,0,0,23
621,uttar pradesh,st.ravidasnagar,2001,1,0,0,0,0,2,7,39,0,22,71
622,uttar pradesh,sultanpur,2001,2,3,0,0,1,3,4,114,0,38,165
623,uttar pradesh,unnao,2001,14,18,12,0,7,2,34,188,0,112,387
624,uttar pradesh,varanasi,2001,2,1,0,0,0,2,2,66,0,9,82
625,uttarakhand,almora,2001,0,0,0,0,0,0,0,7,0,3,10
626,uttarakhand,bageshwar,2001,0,0,0,0,0,0,0,7,0,3,10
627,uttarakhand,chamoli,2001,0,0,0,0,0,0,1,7,0,3,11
628,uttarakhand,champawat,2001,0,0,0,0,0,0,0,0,0,0,0
629,uttarakhand,dehradun,2001,0,0,0,0,0,0,0,6,0,2,8
630,uttarakhand,haridwar,2001,7,1,3,0,0,1,3,3,0,3,21
631,uttarakhand,nainital,2001,0,0,0,0,0,0,0,12,0,7,19
632,uttarakhand,pauri garhwal,2001,1,0,0,0,0,0,3,4,0,2,10
633,uttarakhand,pithoragarh,2001,1,0,0,0,0,0,0,1,0,0,2
634,uttarakhand,rudra prayag,2001,0,0,0,0,0,0,0,3,0,1,4
635,uttarakhand,tehri garhwal,2001,0,0,0,0,0,0,13,13,0,8,34
636,uttarakhand,udhamsingh nagar,2001,1,1,0,0,0,0,3,11,0,7,23
637,uttarakhand,uttarkashi,2001,0,0,0,0,0,0,0,10,0,6,16
638,west bengal,24 parganas north,2001,0,0,0,0,0,0,0,0,0,0,0
639,west bengal,24 parganas south,2001,0,0,0,0,0,0,0,0,0,0,0
640,west bengal,asansol,2001,0,0,0,0,0,0,0,0,0,0,0
641,west bengal,bankura,2001,0,1,0,0,0,0,0,2,0,1,4
642,west bengal,birbhum,2001,0,0,0,0,0,0,0,0,0,0,0
643,west bengal,burdwan,2001,0,1,0,0,0,0,1,2,0,0,4
644,west bengal,coochbehar,2001,0,0,0,0,0,0,0,0,0,0,0
645,west bengal,dakshin dinajpur,2001,0,0,0,0,0,0,0,0,0,0,0
646,west bengal,darjeeling,2001,0,0,0,0,0,0,0,0,0,0,0
647,west bengal,hooghly,2001,0,0,0,0,0,0,0,0,0,0,0
648,west bengal,howrah,2001,0,0,0,0,0,0,0,0,0,0,0
649,west bengal,howrah city,2001,0,0,0,0,0,0,0,0,0,0,0
650,west bengal,howrah g.r.p.,2001,0,0,0,0,0,0,0,0,0,0,0
651,west bengal,jalpaiguri,2001,0,0,0,0,0,0,0,0,0,0,0
652,west bengal,kolkata,2001,0,0,0,0,0,0,0,0,0,0,0
653,west bengal,malda,2001,0,1,0,0,0,0,0,1,0,0,2
654,west bengal,midnapur,2001,0,0,0,0,0,0,0,0,0,0,0
